symbol,trades,longs,shorts,wr_fee,wr_nofee,net,fee,gross,profit_factor,sharpe,max_dd_pct,results
APT,260,260,0,35.0,41.54,224.694,190.764,415.458,1.4617,1.854,0.4591,"{""SL"": 220, ""TP"": 40}"
STEEM,304,304,0,32.57,45.39,223.6338,224.3364,447.9703,1.5843,1.8437,0.4902,"{""SL"": 270, ""TP"": 34}"
GALA,283,283,0,26.5,34.63,219.6914,212.6516,432.343,1.3563,1.4939,0.7261,"{""SL"": 243, ""TP"": 40}"
GMT,232,232,0,35.78,44.83,218.5957,168.7797,387.3755,1.4999,1.8395,0.6758,"{""SL"": 189, ""TP"": 43}"
BB,104,104,0,40.38,46.15,217.8702,75.5241,293.3943,2.0445,1.8819,0.5656,"{""SL"": 86, ""TP"": 18}"
KAS,268,268,0,37.69,44.03,215.6116,196.9577,412.5693,1.4663,1.9186,0.4477,"{""SL"": 229, ""TP"": 39}"
AEVO,181,181,0,31.49,34.81,213.6699,131.6963,345.3662,1.5723,1.8963,0.7361,"{""SL"": 150, ""TP"": 31}"
OP,282,282,0,32.27,41.84,212.5617,203.7748,416.3365,1.4632,2.0182,0.6537,"{""SL"": 240, ""TP"": 42}"
LSK,263,263,0,32.7,38.02,211.2489,194.4128,405.6617,1.5003,2.1384,0.253,"{""SL"": 219, ""TP"": 44}"
PORTAL,191,191,0,31.94,40.31,209.9917,140.4706,350.4623,1.5635,1.8482,0.7173,"{""SL"": 162, ""TP"": 29}"
ENJ,308,308,0,33.77,40.26,200.5589,227.0587,427.6175,1.3727,1.7087,0.5741,"{""SL"": 265, ""TP"": 43}"
POLYX,270,270,0,37.04,45.93,195.1477,199.7197,394.8674,1.3882,1.5915,0.7357,"{""SL"": 236, ""TP"": 34}"
ACH,243,243,0,31.69,37.45,190.1559,180.4315,370.5874,1.3812,1.4785,0.7439,"{""SL"": 211, ""TP"": 32}"
PIXEL,237,237,0,30.38,35.02,189.9664,175.0961,365.0625,1.3533,1.3803,0.8588,"{""SL"": 204, ""TP"": 33}"
AXS,247,247,0,32.39,40.08,181.985,182.2756,364.2606,1.4731,1.9856,0.5422,"{""SL"": 208, ""TP"": 39}"
DOT,279,279,0,30.47,41.58,176.4331,201.6247,378.0578,1.3955,1.4431,0.7254,"{""SL"": 242, ""TP"": 37}"
ALICE,284,284,0,30.28,40.14,174.428,208.5538,382.9819,1.3474,1.6161,0.7155,"{""SL"": 242, ""TP"": 42}"
SAGA,157,157,0,37.58,45.22,174.0142,112.8514,286.8656,1.492,1.5073,0.6504,"{""SL"": 135, ""TP"": 22}"
MASK,266,266,0,33.08,40.23,173.6464,191.7626,365.409,1.3484,1.549,0.9421,"{""SL"": 222, ""TP"": 44}"
SUPER,241,241,0,31.95,40.25,165.977,177.3009,343.2779,1.3253,1.2955,1.1351,"{""SL"": 215, ""TP"": 26}"
W,198,198,0,33.33,37.88,164.4413,146.5034,310.9447,1.3794,1.4352,0.8395,"{""SL"": 168, ""TP"": 30}"
DOGS,93,93,0,36.56,39.78,164.0379,67.4059,231.4438,1.8331,1.7312,0.7295,"{""SL"": 78, ""TP"": 15}"
1MBABYDOGE,70,70,0,30.0,34.29,163.0513,50.8629,213.9142,1.7985,1.4128,0.6846,"{""SL"": 57, ""TP"": 13}"
XRP,258,258,0,30.62,41.47,162.3599,188.3084,350.6683,1.4712,1.6664,0.803,"{""SL"": 218, ""TP"": 40}"
ZEN,260,260,0,33.08,40.38,156.9041,189.3863,346.2903,1.3053,1.313,0.5306,"{""SL"": 221, ""TP"": 39}"
ICP,238,238,0,28.99,38.66,156.1955,172.7386,328.9341,1.3557,1.4568,0.4181,"{""SL"": 206, ""TP"": 32}"
TON,195,195,0,32.82,39.49,155.9266,140.655,296.5815,1.5171,1.6795,0.5352,"{""SL"": 165, ""TP"": 30}"
BAT,281,281,0,34.52,46.26,154.8609,208.0648,362.9257,1.3984,1.7076,0.3582,"{""SL"": 243, ""TP"": 38}"
BOME,207,207,0,30.92,35.27,153.6872,151.97,305.6573,1.339,1.3254,0.62,"{""SL"": 181, ""TP"": 26}"
AR,247,247,0,26.32,33.6,153.4955,179.914,333.4095,1.2785,1.1211,0.8144,"{""SL"": 216, ""TP"": 31}"
BCH,289,289,0,37.37,47.4,149.4716,209.9188,359.3903,1.385,1.6077,0.3528,"{""SL"": 254, ""TP"": 35}"
ADA,234,234,0,32.91,40.6,146.7734,171.4237,318.1971,1.3853,1.5393,0.4366,"{""SL"": 201, ""TP"": 33}"
