trade_no,symbol,entry_time,exit_time,side,exit_reason,entry_price,exit_price,quantity,pnl_usd,fee_usd,net_pnl,result,balance_after
356,BTCUSDT,2024-08-24 22:00:00+00:00,2024-08-26 09:25:00+00:00,SHORT,TP,63584.1,63520.5159,0.78636,50.0,35.0,15.0,WIN,-9910.0
357,BTCUSDT,2024-08-27 05:45:00+00:00,2024-09-04 01:00:00+00:00,LONG,SL,63109.2,56798.28,0.792278,-5000.0,35.0,-5035.0,LOSS,-14945.0
358,BTCUSDT,2024-09-04 08:20:00+00:00,2024-09-04 08:25:00+00:00,LONG,TP,56760.3,56817.0603,0.880897,50.0,35.0,15.0,WIN,-14930.0
359,BTCUSDT,2024-09-05 00:50:00+00:00,2024-09-05 01:35:00+00:00,LONG,TP,58134.5,58192.6345,0.860074,50.0,35.0,15.0,WIN,-14915.0
360,BTCUSDT,2024-09-05 03:00:00+00:00,2024-09-05 03:00:00+00:00,SHORT,TP,57673.3,57615.6267,0.866952,50.0,35.0,15.0,WIN,-14900.0
361,BTCUSDT,2024-09-06 02:20:00+00:00,2024-09-06 02:20:00+00:00,LONG,TP,56725.6,56782.3256,0.881436,50.0,35.0,15.0,WIN,-14885.0
362,BTCUSDT,2024-09-06 07:25:00+00:00,2024-09-06 07:35:00+00:00,SHORT,TP,55349.3,55293.9507,0.903354,50.0,35.0,15.0,WIN,-14870.0
363,BTCUSDT,2024-09-06 12:55:00+00:00,2024-09-06 12:55:00+00:00,LONG,TP,56674.6,56731.2746,0.882229,50.0,35.0,15.0,WIN,-14855.0
364,BTCUSDT,2024-09-07 18:00:00+00:00,2024-09-07 18:00:00+00:00,SHORT,TP,54110.3,54056.1897,0.924038,50.0,35.0,15.0,WIN,-14840.0
365,BTCUSDT,2024-09-08 02:30:00+00:00,2024-09-08 04:50:00+00:00,LONG,TP,54441.1,54495.5411,0.918424,50.0,35.0,15.0,WIN,-14825.0
366,BTCUSDT,2024-09-08 12:50:00+00:00,2024-09-08 12:50:00+00:00,SHORT,TP,54195.8,54141.6042,0.922581,50.0,35.0,15.0,WIN,-14810.0
367,BTCUSDT,2024-09-09 08:35:00+00:00,2024-09-09 09:00:00+00:00,LONG,TP,55207.3,55262.5073,0.905677,50.0,35.0,15.0,WIN,-14795.0
368,BTCUSDT,2024-09-10 03:15:00+00:00,2024-09-10 03:15:00+00:00,SHORT,TP,56639.9,56583.2601,0.88277,50.0,35.0,15.0,WIN,-14780.0
369,BTCUSDT,2024-09-10 07:35:00+00:00,2024-09-10 07:40:00+00:00,LONG,TP,57150.0,57207.15,0.874891,50.0,35.0,15.0,WIN,-14765.0
